code,threads,power_of_4,min,avg,max,time
AVX2,12,14,3.0658428775131,3.0658880847642,3.0659394521817,226.21698939
AVX2,12,14,3.0658622973195,3.0658889540022,3.0659306117551,230.2832717
AVX2,12,14,3.0658339685239,3.0658811229593,3.0659434306318,223.51617727
AVX2,12,14,3.065858629933,3.0658754549669,3.0658993523872,223.667263356
AVX2,12,14,3.0658433886707,3.0658878551752,3.0659137023402,224.641947032
AVX2,12,14,3.0658390213021,3.0658765533031,3.0659327283219,224.704834329
AVX2,12,14,3.0658290818794,3.0658625574759,3.0659035475257,224.681365888
AVX2,12,14,3.0658246065762,3.0658847485304,3.0659154533187,227.729343327
AVX2,12,14,3.0658332757749,3.0658881734604,3.0659495319988,224.098039495
AVX2,12,14,3.0658377491048,3.0658804730967,3.0659271143538,220.959265037
AVX2,12,14,3.065850899509,3.0658795047944,3.0659162822554,228.13472118
