code,threads,power_of_4,min,avg,max,time
AVX2,12,14,3.0658700582224,3.0658956434174,3.0659519451756,262.842774418
AVX2,12,14,3.0658358111365,3.0658772238045,3.0659137146791,285.458541516
AVX2,12,14,3.0658394188567,3.065880601192,3.0659280913178,287.677764666
AVX2,12,14,3.0658341317567,3.0658868323564,3.0659266327074,292.983604558
AVX2,12,14,3.0658415704946,3.0658779523853,3.0659265517737,283.433715741
AVX2,12,14,3.065846158248,3.0658713928802,3.0659012126813,282.702765709
AVX2,12,14,3.0658190879946,3.0658649576957,3.0659284543288,284.197748836
AVX2,12,14,3.0658394303981,3.0658735697241,3.065906190113,286.772091907
AVX2,12,14,3.0658290381322,3.0658732419594,3.0659164293536,293.366128912
AVX2,12,14,3.0658395397058,3.0658805456254,3.065926144576,289.243066689
AVX2,12,14,3.0658513317768,3.0658806327701,3.0659349671454,274.43681363
AVX2,12,14,3.0658486612227,3.0658892460797,3.0659219760109,253.835500813
AVX2,12,14,3.0658281273431,3.065866857951,3.0659176832666,257.416966764
AVX2,12,14,3.0658247378666,3.0658753952453,3.0659321312676,257.768657744
AVX2,12,14,3.06583517768,3.0658648011727,3.0658841397506,260.38728621
AVX2,12,14,3.0658436196668,3.0658902780447,3.0659208162059,257.113406914
AVX2,12,14,3.0658333717106,3.0658771277986,3.0659203504463,259.628259066
AVX2,12,14,3.0658086930184,3.065868049491,3.0659121237883,257.573127944
AVX2,12,14,3.0658403846779,3.0658833389095,3.0659283903408,257.37130032
AVX2,12,14,3.0658504695696,3.0658787582967,3.0659465331879,263.468977177
AVX2,12,14,3.0658508997221,3.0658805229894,3.065906006047,257.596467164
AVX2,12,14,3.0658359186023,3.0658743640056,3.065926101408,252.642187309
AVX2,12,14,3.0658312719467,3.0658825374017,3.0659269396151,258.275537809
AVX2,12,14,3.0658634342776,3.0658893686052,3.0659116252267,259.353227464
AVX2,12,14,3.0658197827242,3.0658800674559,3.0659147691118,259.991002463
AVX2,12,14,3.0658430295049,3.0658744250563,3.0659209229118,265.315902162
AVX2,12,14,3.0658440011371,3.0658820356399,3.0659252097193,273.690624696
AVX2,12,14,3.0658150734926,3.0658819847217,3.0659163731737,277.90358544
AVX2,12,14,3.0658170071759,3.0658813746773,3.0659604954868,288.158279865
AVX2,12,14,3.0658372591266,3.0658781412938,3.0659384322061,270.085217998
AVX2,12,14,3.065845567406,3.0658820395807,3.06592235641,264.422141513
AVX2,12,14,3.065854173541,3.0658860931276,3.0659099446298,258.027071258
AVX2,12,14,3.0658540597608,3.0658782903826,3.0659309436836,264.029885847
AVX2,12,14,3.0658547073383,3.0658789875647,3.0659151897372,268.862557112
AVX2,12,14,3.0658407046331,3.0658746926786,3.0659064407604,267.892089505
AVX2,12,14,3.0658181872728,3.0658752914705,3.0659029467739,261.924832864
AVX2,12,14,3.0658599416329,3.0658902306069,3.0659290925555,260.494785996
AVX2,12,14,3.0657991876071,3.0658790957591,3.0659672945207,260.303578366
AVX2,12,14,3.0658400182127,3.0658780119924,3.0659113054772,258.256138051
AVX2,12,14,3.0658495798913,3.0658728260308,3.0659034101552,257.20772193
AVX2,12,14,3.0658588813258,3.0658893888178,3.0659468612555,256.432704137
AVX2,12,14,3.0658446787331,3.0658922366192,3.0659168760222,266.148021035
AVX2,12,14,3.065834497331,3.0658697842773,3.0658980259173,268.715403214
AVX2,12,14,3.0658294573292,3.0658771608641,3.0659128045439,272.641249357
AVX2,12,14,3.0658290659209,3.0658762442781,3.0659394343824,272.196350759
AVX2,12,14,3.0658414740302,3.0658759662638,3.0659188596955,283.434822877
AVX2,12,14,3.0658062693723,3.0658686254522,3.0659015329041,282.629852458
AVX2,12,14,3.0658187572177,3.0658695807387,3.0659352762368,278.407050673
AVX2,12,14,3.0658278319986,3.0658706332891,3.065891524207,279.1039754
AVX2,12,14,3.0658595696388,3.0658774081918,3.0659212285489,270.514881384
AVX2,12,14,3.0658219531657,3.0658797763009,3.0659107289467,257.751487943
AVX2,12,14,3.065845940819,3.0658825039859,3.0659243365436,253.205746864
AVX2,12,14,3.0658428704271,3.0658860204522,3.0659324560373,254.123182997
AVX2,12,14,3.0658280678013,3.0658710319622,3.0659021661971,253.773878873
AVX2,12,14,3.0658572324523,3.0658957517225,3.0659261487405,253.474866099
AVX2,12,14,3.0658548737566,3.0658841542191,3.0659116926408,254.196576198
AVX2,12,14,3.0658383466217,3.0658775087431,3.0659342146867,253.603234102
AVX2,12,14,3.0658420281056,3.0658833056255,3.0659242716864,252.564900006
AVX2,12,14,3.0658358063112,3.0658698888806,3.0659057760137,253.723899091
AVX2,12,14,3.0658438260631,3.0658811808885,3.0659085045004,254.043813527
AVX2,12,14,3.0658536150294,3.0658799633584,3.0659266029114,252.965453452
